,id,latitude,longitude,label,quality,max_mean-bright,max_std_bright,date,region
3340,30383900,41.1253,16.8667,2,6,,,2022-03-14,Bari
1523,83832655,30.9083,75.8486,2,6,,,2022-03-14,Ludhiana
1346,4217303540,53.8273039,12.3094032,0,1,0.31954411764705887,8.396300696904344,2022-03-14,Mecklenburg-Vorpommern
733,3572306394,49.5797004,7.2120045,0,2,0.5007034313725489,11.62729230018845,2022-03-14,Rheinland-Pfalz
1302,3610378,-23.5328,-46.7919,2,6,,,2022-03-14,Osasco
3563,45546909,30.3866,106.7756,2,6,,,2022-03-14,Shuanghejiedao
2703,5284588215,53.0129374,9.1515237,0,2,0.38523529411764706,15.786172689837382,2022-03-14,Niedersachsen
1021,99732503,23.4895,46.7564,2,6,,,2022-03-14,Al Hillah
1341,37094109,26.3559,-81.7861,2,6,,,2022-03-14,Bonita Springs
2183,4472448135,54.4454445,9.0246399,0,2,0.4689142156862745,9.010372207941558,2022-03-14,Schleswig-Holstein
3815,3224109,33.868,109.9244,2,6,,,2022-03-14,Shangzhou
1581,5888083653,52.136557,9.5485981,0,3,0.3642720588235294,8.683875016612141,2022-03-14,Niedersachsen
2932,56793503,-12.3597,13.5308,2,6,,,2022-03-14,Lobito
2834,824468540,53.2059648,7.3154813,0,3,0.21944607843137254,8.345144350617263,2022-03-14,Niedersachsen
2083,52332658,34.7736,111.195,2,6,,,2022-03-14,Sanmenxia
1820,25567865,31.5667,120.2833,2,6,,,2022-03-14,Wuxi
780,6290348425,52.4485191,7.5683696,0,2,0.4080980392156862,8.557627019928685,2022-03-14,Niedersachsen
3700,6221787335,51.6185785,6.7763499,0,3,0.21578921568627452,9.313828741131701,2022-03-14,Nordrhein-Westfalen
391,2813900198,51.7163375,8.868627,0,3,0.4907990196078431,5.664638329994516,2022-03-14,Nordrhein-Westfalen
1522,2642208603,53.2187941,13.9561474,0,2,0.3209142156862745,9.452889707161972,2022-03-14,Brandenburg
2466,1902543395,51.9923693,10.8323245,0,3,0.3813480392156863,8.017333065589378,2022-03-14,Sachsen-Anhalt
2701,18800148,38.1663,-85.6485,2,6,,,2022-03-14,Louisville
2684,7880139796,51.6528679,9.2946613,0,3,0.4584877450980392,11.732593878983403,2022-03-14,Nordrhein-Westfalen
3072,2684105656,53.3637841,13.9114722,0,3,0.1578406862745098,9.01487518958768,2022-03-14,Brandenburg
3748,57388321,18.9186,-99.2342,2,6,,,2022-03-14,Cuernavaca
1675,2214854672,54.5137305,11.0722105,0,2,0.25191666666666673,10.969415068866981,2022-03-14,Schleswig-Holstein
3490,33026198,13.3422,77.1017,2,6,,,2022-03-14,Tumkur
1519,467443777,51.8594184,13.5546466,0,2,0.33368137254901964,9.5534116081801,2022-03-14,Brandenburg
3672,52562809,38.5667,-121.4683,2,6,,,2022-03-14,Sacramento
1879,78048469,7.8333,3.9333,2,6,,,2022-03-14,Oyo
2762,74258713,3.0833,101.5333,2,6,,,2022-03-14,Shah Alam
1971,96256387,35.3039,136.8031,2,6,,,2022-03-14,Ichinomiya
2460,7450562020,51.6984779,6.2487255,0,3,0.4983578431372549,21.923347070866548,2022-03-14,Nordrhein-Westfalen
1483,62814327,21.0245,105.8412,2,6,,,2022-03-14,Hanoi
1041,7450692830,51.7153781,6.2884064,0,2,0.242968137254902,6.452119614144352,2022-03-14,Nordrhein-Westfalen
3284,2640816544,52.518139,13.9630754,0,3,0.1728823529411765,14.264622850026875,2022-03-14,Brandenburg
525,4375329906,52.7993002,7.5346597,0,2,0.5302205882352942,16.282829862748983,2022-03-14,Niedersachsen
3684,2268474714,53.288847,8.5612578,0,3,0.5690073529411765,4.2770937944107015,2022-03-14,Niedersachsen
1034,96285197,10.6333,-71.6333,2,6,,,2022-03-14,Maracaibo
1983,1684609592,54.2266166,8.9170603,0,3,0.44840686274509806,13.643848387431865,2022-03-14,Schleswig-Holstein
1758,402944490,52.5681766,12.9207707,0,2,0.5278676470588235,10.879238911768708,2022-03-14,Brandenburg
1575,6301619,29.375,47.98,2,6,,,2022-03-14,Kuwait City
207,8731231,35.1,129.0403,2,6,,,2022-03-14,Busan
3027,1027094533,51.5087644,8.1949915,0,3,0.3231421568627451,9.10168868688362,2022-03-14,Nordrhein-Westfalen
2814,45801674,37.7903,-122.2165,2,6,,,2022-03-14,Oakland
2321,2539751067,52.5998817,7.5382364,0,3,0.3260955882352941,12.307598489241718,2022-03-14,Niedersachsen
3458,36242059,8.1167,-63.55,2,6,,,2022-03-14,Ciudad Bolivar
1425,7644796962,52.9324821,12.1808194,0,1,0.5440367647058822,5.628137599718544,2022-03-14,Brandenburg
1121,7644796933,52.9550562,12.1638229,0,2,0.2763676470588235,7.896659090548337,2022-03-14,Brandenburg
2958,32434369,34.7333,36.7167,2,6,,,2022-03-14,Homs
815,5864474,27.705,106.9336,2,6,,,2022-03-14,Zunyi
3966,4274111746,51.5935051,8.8558826,0,1,0.34101225490196074,12.51106195083323,2022-03-14,Nordrhein-Westfalen
2527,6688259,39.1239,-94.5541,2,6,,,2022-03-14,Kansas City
2743,2095078217,53.639013,13.1574765,0,2,0.1410563725490196,12.714612238786131,2022-03-14,Mecklenburg-Vorpommern
2023,656213964,54.4646283,11.2621957,0,2,0.3595392156862745,6.11114040781731,2022-03-14,Schleswig-Holstein
653,91448109,36.8667,120.5333,2,6,,,2022-03-14,Laixi
1593,1272376930,53.4980025,8.6687805,0,3,0.3306764705882353,12.149968758418757,2022-03-14,Niedersachsen
2967,4147067349,54.1878541,8.9670382,0,2,0.26935394670688784,13.717374959908032,2022-03-14,Schleswig-Holstein
633,759747887,52.4881564,14.4020096,0,2,0.530828431372549,7.857526973493098,2022-03-14,Brandenburg
2724,1279678052,52.1721744,10.2540974,0,3,0.35335539215686274,16.675860262721194,2022-03-14,Niedersachsen
3417,99694892,34.0376,-80.9037,2,6,,,2022-03-14,Columbia
2646,56786954,29.4658,-98.5253,2,6,,,2022-03-14,San Antonio
1613,78110509,-28.0167,153.4,2,6,,,2022-03-14,Gold Coast
1506,4202400,44.6475,-63.5906,2,6,,,2022-03-14,Halifax
2619,3791153,41.3825,2.1769,2,6,,,2022-03-14,Barcelona
1429,4217303538,53.8292955,12.3021292,0,2,0.2163578431372549,12.15271761449385,2022-03-14,Mecklenburg-Vorpommern
2057,1067728608,51.4916579,8.3901421,0,2,0.47824999999999995,6.968858444506796,2022-03-14,Nordrhein-Westfalen
1720,20032447,6.1319,1.2228,2,6,,,2022-03-14,Lome
1981,7545830387,52.6951127,7.8580355,0,3,0.3819632352941177,3.7594678379218465,2022-03-14,Niedersachsen
3809,7122855036,52.8582496,8.5097535,0,3,0.30903186274509803,10.83214026441952,2022-03-14,Niedersachsen
1308,1230927983,52.9665888,9.9091066,0,3,0.3295857843137255,14.608656776348218,2022-03-14,Niedersachsen
2730,53880479,19.645,-99.1694,2,6,,,2022-03-14,Tultitlan de Mariano Escobedo
3491,44000542,-6.9197,106.9272,2,6,,,2022-03-14,Sukabumi
1413,8844920,23.3448,112.6956,2,6,,,2022-03-14,Sihui
923,60287735,18.6733,105.6922,2,6,,,2022-03-14,Vinh
3776,759747939,52.4749888,14.4106997,0,3,0.2056470588235294,10.053224940416868,2022-03-14,Brandenburg
186,15475689,21.4667,109.1,2,6,,,2022-03-14,Beihai
2592,46171593,-12.8208,28.2119,2,6,,,2022-03-14,Kitwe
908,62721772,-14.6556,17.6842,2,6,,,2022-03-14,Menongue
3866,7884253221,54.7619263,8.933103,0,2,0.27141421568627455,10.179713482716375,2022-03-14,Schleswig-Holstein
2070,2194912438,53.1360012,12.2241004,0,3,0.2945637254901961,6.912209265778966,2022-03-14,Brandenburg
1154,4144885323,53.3202822,8.8000315,0,3,0.37211764705882355,9.36126683065542,2022-03-14,Niedersachsen
2167,70318414,23.1288,113.259,2,6,,,2022-03-14,Guangzhou
2414,5079924343,51.7234605,8.8351694,0,3,0.34925980392156863,11.722809929094986,2022-03-14,Nordrhein-Westfalen
232,19346504,33.5131,36.2919,2,6,,,2022-03-14,Damascus
217,77336876,30.82,108.4,2,6,,,2022-03-14,Sanzhou
297,63278399,41.4044,-75.6649,2,6,,,2022-03-14,Scranton
2610,51318802,5.8388,118.1173,2,6,,,2022-03-14,Sandakan
2819,393954317,52.5401671,12.8549214,0,2,0.41638725490196077,7.770678067078996,2022-03-14,Brandenburg
2471,96754069,59.3294,18.0686,2,6,,,2022-03-14,Stockholm
798,28559583,-34.7,-58.4,2,6,,,2022-03-14,Lanus
1380,98877100,40.7834,-73.9662,2,6,,,2022-03-14,Manhattan
1315,55442680,29.6792,115.6611,2,6,,,2022-03-14,Pencheng
493,46083546,48.2395,126.5037,2,6,,,2022-03-14,Beian
122,6539854995,51.6962248,8.6483074,0,2,0.3421642156862745,8.486195478568115,2022-03-14,Nordrhein-Westfalen
889,58704285,35.91,117.78,2,6,,,2022-03-14,Xintai
1205,266457342,53.5096109,9.4628856,0,3,0.6022132352941176,12.1203368906932,2022-03-14,Niedersachsen
2806,2573625,19.4167,-98.9,2,6,,,2022-03-14,Chimalhuacan
1093,61881973,31.2575,113.6783,2,6,,,2022-03-14,Anlu
2112,27890850,20.55,74.55,2,6,,,2022-03-14,Malegaon
3308,16266010,5.05,7.9333,2,6,,,2022-03-14,Uyo
2907,53510838,37.3997,121.2664,2,6,,,2022-03-14,Yantai
713,80618637,51.2211,4.3997,2,6,,,2022-03-14,Antwerp
432,1902543324,51.9875743,10.8420518,0,2,0.2526176470588235,7.196449541263375,2022-03-14,Sachsen-Anhalt
2489,8019808784,51.5790054,12.1006418,0,2,0.4472058823529412,5.119635958765875,2022-03-14,Sachsen-Anhalt
1301,7235337963,51.921278,13.749753,0,3,0.28845833333333337,12.161729030552276,2022-03-14,Brandenburg
2796,26742236,34.1736,112.839,2,6,,,2022-03-14,Meishan
3298,7956557532,53.1488479,11.8094794,0,2,0.36571078431372545,7.285114641179138,2022-03-14,Brandenburg
1503,4316826217,52.1339677,9.5013925,0,2,0.271578431372549,7.963881899393674,2022-03-14,Niedersachsen
3842,8051987,45.0667,7.7,2,6,,,2022-03-14,Turin
3666,743088407,51.8127962,8.6317151,0,3,0.335828431372549,5.58991352083986,2022-03-14,Nordrhein-Westfalen
927,2172995800,49.5441414,8.1208152,0,3,0.3493504901960784,22.008297454553688,2022-03-14,Rheinland-Pfalz
3004,409120774,52.5701746,12.8992701,0,2,0.15602450980392157,8.588271549699577,2022-03-14,Brandenburg
3112,1678247220,51.9706428,11.4555073,0,2,0.520968137254902,4.743332134059774,2022-03-14,Sachsen-Anhalt
3768,402942451,52.5672354,12.9302674,0,2,0.42744852941176464,9.014101432169179,2022-03-14,Brandenburg
3055,656213970,54.4638144,11.2523759,0,1,0.4015539215686274,8.170035544849558,2022-03-14,Schleswig-Holstein
363,96463914,4.6126,-74.0705,2,6,,,2022-03-14,Bogota
1208,99575103,34.41,-2.89,2,6,,,2022-03-14,Taourirt
2049,972535124,51.8669225,9.9094501,0,3,0.3780416666666666,7.284750630994207,2022-03-14,Niedersachsen
552,1843221986,49.8167613,8.1664312,0,3,0.5323676470588236,7.321112995122963,2022-03-14,Rheinland-Pfalz
3280,40063078,29.4833,60.8667,2,6,,,2022-03-14,Zahedan
1039,92428210,34.7167,137.7333,2,6,,,2022-03-14,Hamamatsu
2250,69006334,39.6896,122.9664,2,6,,,2022-03-14,Zhuanghe
883,2229048084,52.3810938,10.9594631,0,3,0.3341200980392157,19.69191208348198,2022-03-14,Niedersachsen
1044,2661408240,53.4197897,14.0591818,0,2,0.16628921568627453,9.737623066518545,2022-03-14,Mecklenburg-Vorpommern
2073,44494736,-16.3269,-48.9528,2,6,,,2022-03-14,Anapolis
456,7581236696,54.2259346,8.9410471,0,3,0.5622916666666666,12.917340652083492,2022-03-14,Schleswig-Holstein
131,4943980588,51.6468186,8.9132853,0,3,0.41461519607843145,7.503480435341597,2022-03-14,Nordrhein-Westfalen
2407,272114296,51.514387,8.3757161,0,3,0.23556372549019608,11.555119209668948,2022-03-14,Nordrhein-Westfalen
24,1054578396,52.7751462,8.6367277,0,3,0.5297008547008548,11.779633973065447,2022-03-14,Niedersachsen
219,1684609604,54.2400366,8.9492363,0,3,0.4331053921568628,22.783984662217616,2022-03-14,Schleswig-Holstein
2484,45482552,34.3422,118.0097,2,6,,,2022-03-14,Pizhou
2809,65971736,14.0333,35.3833,2,6,,,2022-03-14,Gedaref
1452,83383749,37.2858,127.01,2,6,,,2022-03-14,Suwon
1447,7450710875,51.7269107,6.3905291,0,3,0.5379803921568628,12.310277626352567,2022-03-14,Nordrhein-Westfalen
3598,410838045,52.5981206,12.8233112,0,2,0.17965811965811967,13.20038645749194,2022-03-14,Brandenburg
113,7269814,22.4167,107.3667,2,6,,,2022-03-14,Chongzuo
2985,61256771,32.6633,-115.4678,2,6,,,2022-03-14,Mexicali
1117,3804806938,51.2803538,9.2133704,0,2,0.278171568627451,15.387752413373756,2022-03-14,Hessen
630,7620868417,52.8803861,12.6034883,0,1,0.7325808823529412,7.251866302677697,2022-03-14,Brandenburg
3401,2422540834,54.4819687,11.1065816,0,3,0.17569362745098038,16.957439418177515,2022-03-14,Schleswig-Holstein
1635,4128820971,51.6760548,8.8806116,0,3,0.3412401960784313,10.188533356021624,2022-03-14,Nordrhein-Westfalen
654,1349122117,54.1461337,10.9094886,0,1,0.29020098039215686,14.483303895016384,2022-03-14,Schleswig-Holstein
1067,20447192,14.275,121.125,2,6,,,2022-03-14,Cabuyao
1350,1395082588,52.6979396,8.8505842,0,2,0.4131470588235294,7.665659813884792,2022-03-14,Niedersachsen
2404,33598092,32.8534,120.3037,2,6,,,2022-03-14,Dongtai
2322,72673097,27.2796,-80.3883,2,6,,,2022-03-14,Port St. Lucie
3470,23670890,44.4939,11.3428,2,6,,,2022-03-14,Bologna
3921,37635841,23.25,77.4167,2,6,,,2022-03-14,Bhopal
3181,81669645,36.7,67.1167,2,6,,,2022-03-14,Mazar-e Sharif
2957,67715559,34.6935,-118.1753,2,6,,,2022-03-14,Lancaster
3388,7777288397,54.0060333,9.0912884,0,2,0.35061519607843133,22.622680877985026,2022-03-14,Schleswig-Holstein
2002,4232508648,51.669721,8.8606897,0,3,0.2576985294117647,13.369162288562817,2022-03-14,Nordrhein-Westfalen
1304,7581511071,54.268268,8.9815064,0,3,0.48760683760683765,9.032141122056418,2022-03-14,Schleswig-Holstein
3344,22532039,6.1167,125.1667,2,6,,,2022-03-14,General Santos
3307,2419047508,54.1858713,8.9325186,0,3,0.5106053921568626,10.484095886785914,2022-03-14,Schleswig-Holstein
1108,4825686611,53.2501657,7.43307,0,3,0.21678921568627452,12.37674479646321,2022-03-14,Niedersachsen
1078,66866764,-8.7619,-63.9039,2,6,,,2022-03-14,Porto Velho
651,471960979,52.5565124,9.0552548,0,3,0.4556789215686274,12.618764558356096,2022-03-14,Niedersachsen
3028,49283935,39.9398,119.5881,2,6,,,2022-03-14,Qinhuangdao
3427,11464741,6.3319,-75.5581,2,6,,,2022-03-14,Bello
3784,8551462701,53.7901804,9.1571686,0,2,0.38429656862745093,10.954820420832059,2022-03-14,Niedersachsen
2632,4987220293,51.5801075,11.6231303,0,1,0.3352230392156863,9.59056150218877,2022-03-14,Sachsen-Anhalt
2343,85532449,-5.4294,105.2625,2,6,,,2022-03-14,Bandar Lampung
542,4555984567,51.2958122,9.7730976,0,3,0.24735796882855712,13.420000514050752,2022-03-14,Hessen
704,546622749,54.5762234,8.984346,0,3,0.5030637254901961,16.125648665645933,2022-03-14,Schleswig-Holstein
3481,65295556,45.4247,-75.695,2,6,,,2022-03-14,Ottawa
474,409123432,52.5790004,12.8472224,0,1,0.17312971342383107,14.635387069130529,2022-03-14,Brandenburg
60,94478467,27.4833,89.6333,2,6,,,2022-03-14,Thimphu
1606,4227204906,54.7406831,9.2861305,0,3,0.2363014705882353,8.18821107132795,2022-03-14,Schleswig-Holstein
2947,410838029,52.5865311,12.7943679,0,2,0.09691302161890396,12.654531511734922,2022-03-14,Brandenburg
3267,272117175,54.1771355,8.8614588,0,2,0.47494852941176474,6.062009685024214,2022-03-14,Schleswig-Holstein
2680,13736086,46.0726,122.0719,2,6,,,2022-03-14,Ulanhot
3054,5429333689,52.7021991,7.8171806,0,2,0.4181642156862745,7.383485819642168,2022-03-14,Niedersachsen
992,72948935,56.85,53.2167,2,6,,,2022-03-14,Izhevsk
411,253249818,50.6460196,6.3510627,0,2,0.2783161764705882,6.922459849722205,2022-03-14,Nordrhein-Westfalen
1427,42305888,36.2,37.15,2,6,,,2022-03-14,Aleppo
1794,75258507,10.5823,14.3275,2,6,,,2022-03-14,Maroua
728,47964767,35.6969,-0.6331,2,6,,,2022-03-14,Oran
2835,77113606,24.8047,120.9714,2,6,,,2022-03-14,Hsinchu
3512,5585213,37.6564,126.835,2,6,,,2022-03-14,Goyang
3582,49597073,-6.0167,106.0167,2,6,,,2022-03-14,Cilegon
871,5970832,22.1879,112.3131,2,6,,,2022-03-14,Encheng
101,402955340,52.5903221,12.8971415,0,2,0.21335539215686275,10.115137675165977,2022-03-14,Brandenburg
683,8292038474,53.9914315,9.412547,0,3,0.38118382352941177,6.751805821178635,2022-03-14,Schleswig-Holstein
3535,4169393451,51.8297474,8.2384423,0,2,0.35637745098039214,24.391569642986184,2022-03-14,Nordrhein-Westfalen
2213,42545395,20.6167,-103.2333,2,6,,,2022-03-14,Tonala
3565,26235225,43.7034,7.2663,2,6,,,2022-03-14,Nice
1622,74096885,30.8956,119.411,2,6,,,2022-03-14,Taozhou
743,1088746554,52.7496125,8.6580166,0,2,0.2350804424333836,7.498641493148627,2022-03-14,Niedersachsen
2373,7734139292,51.5218686,8.8387223,0,2,0.2561544117647059,10.18951495005509,2022-03-14,Nordrhein-Westfalen
2866,8250378560,52.5486338,7.6194135,0,3,0.27530392156862743,13.756555884705048,2022-03-14,Niedersachsen
2336,1019285309,54.1921526,8.9598543,0,2,0.5670906862745098,11.00651730047194,2022-03-14,Schleswig-Holstein
2798,68147935,30.3307,48.2797,2,6,,,2022-03-14,Madan
2595,2627756793,52.0226242,7.1646043,0,3,0.3272083333333333,13.723756403748533,2022-03-14,Nordrhein-Westfalen
1149,83498915,-12.2669,-38.9669,2,6,,,2022-03-14,Feira de Santana
1626,61182412,-33.865,151.2094,2,6,,,2022-03-14,Sydney
2389,39612750,22.3559,110.9369,2,6,,,2022-03-14,Xinyi
213,5696000322,52.600321,13.661742,0,1,0.35335784313725493,12.67781699870093,2022-03-14,Brandenburg
3861,4711688,26.6448,118.1728,2,6,,,2022-03-14,Nanping
149,467443822,51.8727568,13.5518032,0,1,0.3799460784313725,6.837850238241108,2022-03-14,Brandenburg
2066,3579945395,51.6657271,8.868435,0,1,0.44088725490196085,8.323319857698792,2022-03-14,Nordrhein-Westfalen
1576,2378095263,52.6259375,10.3625539,0,3,0.5282156862745098,6.427703374490527,2022-03-14,Niedersachsen
323,275004553,52.3215425,9.5381867,0,3,0.5982428355957767,8.484839143576673,2022-03-14,Niedersachsen
921,89740538,-23.1864,-46.8842,2,6,,,2022-03-14,Jundiai
2810,393950059,52.5199173,12.9031965,0,2,0.20612254901960783,9.121560125736778,2022-03-14,Brandenburg
2387,18879001,23.83,78.71,2,6,,,2022-03-14,Saugor
2439,91913138,-13.8333,-171.8333,2,6,,,2022-03-14,Apia
3293,5028590551,49.2413474,9.8167991,0,2,0.331421568627451,14.087024528353446,2022-03-14,Baden-WÃ¼rttemberg
2386,7734139295,51.5172217,8.837326,0,3,0.17694117647058824,16.32187083384979,2022-03-14,Nordrhein-Westfalen
3605,46885805,33.8869,35.5131,2,6,,,2022-03-14,Beirut
2181,94324121,35.229,113.2304,2,6,,,2022-03-14,Jiaozuo
3813,8530066669,51.6391417,8.9063869,0,3,0.324906862745098,11.239190392432704,2022-03-14,Nordrhein-Westfalen
3442,69842182,32.2942,-64.7839,2,6,,,2022-03-14,Hamilton
245,7734139286,51.5212561,8.8152067,0,2,0.24515931372549019,19.798727378622747,2022-03-14,Nordrhein-Westfalen
2713,1316431350,54.1407415,10.8854585,0,2,0.3816299019607843,8.437651180887524,2022-03-14,Schleswig-Holstein
3452,1316431309,54.1446343,10.8897016,0,1,0.5032453494218201,11.389478794292984,2022-03-14,Schleswig-Holstein
243,58319161,40.8333,14.25,2,6,,,2022-03-14,Naples
3251,5624172654,52.572133,11.4939749,0,2,0.5439730392156863,13.81600302781546,2022-03-14,Sachsen-Anhalt
3606,1234000196,49.5285108,8.3106673,0,2,0.4039142156862745,12.962330137691994,2022-03-14,Rheinland-Pfalz
2303,12659368,43.2964,5.37,2,6,,,2022-03-14,Marseille
3239,2684105673,53.3758213,13.9101051,0,3,0.16140686274509802,8.591226547553873,2022-03-14,Brandenburg
3237,79345669,50.0614,19.9372,2,6,,,2022-03-14,Krakow
3544,4147067355,54.1880587,8.9571255,0,2,0.6034044117647059,4.860607325386172,2022-03-14,Schleswig-Holstein
